main-captions	MSRvid	2012test	0001	5.000	一架飞机正在起飞。	一架飞机正在起飞。
main-captions	MSRvid	2012test	0004	3.800	一个人正在吹长笛。	一个人正在吹长笛。
main-captions	MSRvid	2012test	0005	3.800	一个男人正在披萨上铺碎的奶酪。	一个男人正在一个未煮熟的披萨上铺碎的奶酪。
main-captions	MSRvid	2012test	0006	2.600	三个人正在下棋。	两个人正在下棋。
main-captions	MSRvid	2012test	0009	4.250	一个人在玩大提琴。	坐着的一个人正在演奏大提琴。
main-captions	MSRvid	2012test	0011	4.250	有些人在打架	两个人在打架
main-captions	MSRvid	2012test	0012	0.500	一个男人在抽烟。	一个人在滑冰。
main-captions	MSRvid	2012test	0013	1.600	那人正在弹钢琴。	那人正在弹吉他。
main-captions	MSRvid	2012test	0014	2.200	一个人正在弹吉他唱歌。	一个女人正在弹原声吉他和唱歌。
main-captions	MSRvid	2012test	0016	5.000	一个人正把一只猫扔到天花板上。	一个人把猫扔到天花板上。
main-captions	MSRvid	2012test	0017	4.200	那人用棍子打另一个人。	那人用棍子打了另一个人一下。
main-captions	MSRvid	2012test	0018	4.600	一个女人拿起一只袋鼠宝宝。	一个女人拿起一只袋鼠宝宝怀在怀里。
main-captions	MSRvid	2012test	0019	3.867	一个人正在吹长笛。	一个人正在吹竹笛。
main-captions	MSRvid	2012test	0020	4.667	一个人正在折叠一张纸。	有人在折叠一张纸。
main-captions	MSRvid	2012test	0021	1.667	一个人正在路上奔跑。	一只熊猫狗正在路上奔跑。
main-captions	MSRvid	2012test	0022	3.750	一只狗正试着把熏肉从背上拿开。	一只狗想吃背上的熏肉。
main-captions	MSRvid	2012test	0025	5.000	北极熊在雪地上滑行。	一只北极熊在雪地里滑行。
main-captions	MSRvid	2012test	0026	0.500	一个女人在写作。	女人在游泳。
main-captions	MSRvid	2012test	0028	3.800	猫在摩擦宝宝的脸。	猫在摩擦婴儿。
main-captions	MSRvid	2012test	0029	5.000	那人正在骑马。	一个人骑着马。
main-captions	MSRvid	2012test	0030	3.200	一个人把油倒进锅里。	一个人把酒倒在锅里。
main-captions	MSRvid	2012test	0031	2.800	一个人正在弹吉他。	一个女孩正在弹吉他。
main-captions	MSRvid	2012test	0032	4.600	一只熊猫正在滑下滑梯。	熊猫从幻灯片上滑下来。
main-captions	MSRvid	2012test	0034	3.000	女人正在吃东西。	一个女人正在吃肉。
main-captions	MSRvid	2012test	0035	5.000	一个女人剥土豆皮。	一个女人正在剥土豆皮。
main-captions	MSRvid	2012test	0038	4.800	那个男孩从自行车上摔了下来。	一个男孩从自行车上摔下来。
main-captions	MSRvid	2012test	0040	5.000	那个女人正在吹长笛。	一个女人正在吹长笛。
main-captions	MSRvid	2012test	0042	4.200	一只兔子从鹰身上跑来。	一只野兔从鹰中跑来。
main-captions	MSRvid	2012test	0044	4.200	那女人正在煎面包猪排。	一个女人正在煮一个面包猪排。
main-captions	MSRvid	2012test	0046	4.000	一个女孩正在放风筝。	一个跑着的女孩正在放风筝。
main-captions	MSRvid	2012test	0047	4.000	一个人骑着一头机械公牛。	一个人骑着一头机械公牛。
main-captions	MSRvid	2012test	0048	4.909	那人正在弹吉他。	一个人正在弹吉他。
main-captions	MSRvid	2012test	0050	3.000	女人和其他女人一起跳舞唱歌。	一个女人在雨中跳舞唱歌。
main-captions	MSRvid	2012test	0052	2.400	一个人正在切包子。	一个人正在切洋葱。
main-captions	MSRvid	2012test	0053	4.200	一个人正在往锅里倒油。	一个人正在往技能里倒油。
main-captions	MSRvid	2012test	0054	3.400	狮子在和人玩耍。	狮子正在和两个男人玩耍。
main-captions	MSRvid	2012test	0055	5.000	狗玩滑板。	狗正在玩滑板。
main-captions	MSRvid	2012test	0056	3.750	有人在雕刻雕像。	一个人正在雕刻一座雕像。
main-captions	MSRvid	2012test	0057	2.750	女人正在切洋葱。	一个人正在切洋葱。
main-captions	MSRvid	2012test	0058	5.000	一个女人剥虾皮。	一个女人正在剥虾皮。
main-captions	MSRvid	2012test	0059	4.000	一个女人在炸鱼。	一个女人正在煮鱼。
main-captions	MSRvid	2012test	0061	3.600	一个女人正在弹电吉他。	一个女人正在弹吉他。
main-captions	MSRvid	2012test	0062	1.600	一只小老虎正在玩球。	婴儿正在玩洋娃娃。
main-captions	MSRvid	2012test	0064	1.750	一个人正在切西红柿。	一个人正在切一些肉。
main-captions	MSRvid	2012test	0065	5.000	一个人切洋葱。	一个人在切洋葱。
main-captions	MSRvid	2012test	0068	1.000	一个人正在弹钢琴。	一个女人在拉小提琴。
main-captions	MSRvid	2012test	0069	1.000	一个女人在吹长笛。	一个人正在弹吉他。
main-captions	MSRvid	2012test	0070	2.375	一个人正在切土豆。	一个人正在切胡萝卜。
